era,city,date,time,variant,apparent_shift_minutes,any_changed,changed
구표준시,서울,1956-08-03,17:09,noHistoricalTz,30,1,"ascSign|planetHouses"
구표준시,서울,1956-08-03,17:09,noSolarTime,62,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-08-03,19:16,noHistoricalTz,30,1,"ascSign|planetHouses"
구표준시,서울,1956-08-03,19:16,noSolarTime,62,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-08-03,21:23,noHistoricalTz,30,1,"planetHouses"
구표준시,서울,1956-08-03,21:23,noSolarTime,62,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-08-03,23:30,noHistoricalTz,30,1,"planetHouses"
구표준시,서울,1956-08-03,23:30,noSolarTime,62,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-09-10,00:13,noHistoricalTz,30,1,"ascSign|planetHouses"
구표준시,서울,1956-09-10,00:13,noSolarTime,62,1,"dayPillar"
구표준시,서울,1956-09-10,02:20,noHistoricalTz,30,1,"planetHouses"
구표준시,서울,1956-09-10,02:20,noSolarTime,62,0,""
구표준시,서울,1956-09-10,04:27,noHistoricalTz,30,1,"planetHouses"
구표준시,서울,1956-09-10,04:27,noSolarTime,62,0,""
구표준시,서울,1956-09-10,06:34,noHistoricalTz,30,1,"planetHouses"
구표준시,서울,1956-09-10,06:34,noSolarTime,62,0,""
구표준시,서울,1956-09-10,08:41,noHistoricalTz,30,1,"planetHouses"
구표준시,서울,1956-09-10,08:41,noSolarTime,62,0,""
구표준시,서울,1956-09-10,10:48,noHistoricalTz,30,1,"planetHouses"
구표준시,서울,1956-09-10,10:48,noSolarTime,62,0,""
구표준시,서울,1956-09-10,12:55,noHistoricalTz,30,1,"planetHouses"
구표준시,서울,1956-09-10,12:55,noSolarTime,62,0,""
구표준시,서울,1956-09-10,15:02,noHistoricalTz,30,1,"ascSign|planetHouses"
구표준시,서울,1956-09-10,15:02,noSolarTime,62,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-09-10,17:09,noHistoricalTz,30,1,"mcSign|planetHouses"
구표준시,서울,1956-09-10,17:09,noSolarTime,62,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-09-10,19:16,noHistoricalTz,30,1,"ascSign|mcSign|planetHouses"
구표준시,서울,1956-09-10,19:16,noSolarTime,62,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-09-10,21:23,noHistoricalTz,30,1,"mcSign"
구표준시,서울,1956-09-10,21:23,noSolarTime,62,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-09-10,23:30,noHistoricalTz,30,1,"mcSign|planetHouses"
